Dimension Index,Top-Activating Contexts,Context Activations
49,"[[1578, 1829, 851, 1541, 4379, 281, 24128, 6769, 286, 7040, 422], [14690, 11, 314, 460, 766, 616, 9482, 2156, 0, 198, 198], [1422, 447, 247, 83, 766, 340, 345, 3636, 447, 247, 83]]","[[0.0, 0.0, 0.0, 0.0, 3.7185006141662598, 17.871553421020508, 13.534955024719238, 3.8442671298980713, 4.776737689971924, 2.330151081085205, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 15.04290771484375, 0.6119755506515503, 6.053813934326172, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 14.071492195129395, 5.035801887512207, 0.0, 0.0, 0.0, 0.0]]"
50,"[[287, 262, 1296, 286, 49391, 290, 12768, 4190, 960, 14813, 618], [1811, 12432, 287, 543, 2046, 373, 4721, 1, 290, 366, 41081], [546, 644, 356, 8288, 290, 1422, 447, 247, 83, 588, 13], [502, 618, 314, 373, 7954, 290, 5938, 13, 632, 5300, 588], [546, 649, 3246, 21528, 287, 10175, 2271, 78, 11, 1864, 284], [4004, 3195, 2523, 357, 31042, 287, 4687, 8, 290, 511, 4004]]","[[0.0, 0.013954028487205505, 0.0, 0.0, 0.0, 6.674290180206299, 0.6408429145812988, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 5.422804355621338, 4.288699150085449, 2.9869742393493652, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6434056162834167, 0.0, 5.140542030334473, 1.609343409538269, 0.0, 0.0, 2.721956253051758, 0.0], [0.0, 1.0931960344314575, 0.0, 1.1089774370193481, 0.0, 4.932601451873779, 1.688215970993042, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 4.922818660736084, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3434901535511017, 0.0, 4.628149509429932, 0.0, 1.228702425956726, 0.0, 2.095841646194458, 0.0]]"
59,"[[290, 423, 1683, 10764, 503, 287, 1171, 287, 968, 1971, 2254]]","[[0.0, 0.0, 0.6353558897972107, 0.0, 4.009897708892822, 5.084583282470703, 0.34451550245285034, 2.320347785949707, 0.0, 0.0, 0.0]]"
81,"[[340, 373, 852, 3190, 625, 262, 1353, 618, 340, 5495, 514], [6482, 553, 13307, 4438, 625, 262, 3753, 3371, 262, 5273, 5426], [82, 3809, 1625, 736, 625, 262, 725, 82, 13, 564, 250], [17852, 46, 338, 1439, 3827, 383, 2159, 11, 383, 9576, 6705], [714, 307, 5954, 319, 625, 262, 1182, 960, 9776, 3750, 13], [11, 618, 356, 3114, 625, 262, 5743, 11, 612, 373, 257]]","[[0.0, 0.0, 0.0, 0.0, 3.182223320007324, 48.411033630371094, 16.39656639099121, 0.0, 0.0, 0.0, 2.7356090545654297], [0.0, 0.0, 0.0, 0.0, 2.151448965072632, 33.186214447021484, 12.045763969421387, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.7728519439697266, 30.786460876464844, 0.9692647457122803, 6.262463569641113, 0.9708560705184937, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 29.57113265991211, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.2827916145324707, 28.971176147460938, 8.65185260772705, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 26.699865341186523, 10.913042068481445, 0.0, 0.0, 0.0, 0.0]]"
181,"[[12, 20123, 669, 6047, 14424, 290, 8114, 9596, 46019, 11, 262], [4649, 11, 3407, 25, 198, 198, 40540, 16095, 355, 2113, 11308], [338, 28390, 876, 31716, 11, 8362, 4816, 9142, 11, 3776, 1759], [318, 900, 284, 3491, 287, 290, 4640, 4439, 262, 3624, 12], [13, 22503, 416, 9659, 18489, 13, 262, 1492, 460, 307, 8155], [559, 297, 468, 587, 3350, 284, 711, 13353, 7851, 287, 262]]","[[0.40085726976394653, 4.55235481262207, 4.607135772705078, 3.576183557510376, 5.269566059112549, 16.283288955688477, 4.32595157623291, 2.199442148208618, 7.541545391082764, 9.103150367736816, 5.928156852722168], [1.9472864866256714, 12.519890785217285, 12.355963706970215, 14.954536437988281, 14.066262245178223, 16.184457778930664, 4.853608131408691, 1.7630574703216553, 4.706838607788086, 0.0, 0.0], [5.106809616088867, 0.7448762655258179, 6.188148498535156, 4.057568073272705, 8.899147987365723, 13.502232551574707, 8.711324691772461, 3.5810396671295166, 12.002853393554688, 9.75522232055664, 11.368149757385254], [7.746292591094971, 1.0083526372909546, 7.374553680419922, 4.117153167724609, 6.726373195648193, 11.933014869689941, 7.2806854248046875, 8.156136512756348, 8.667135238647461, 2.565934419631958, 4.439421653747559], [0.0, 0.0, 1.6900287866592407, 0.0, 0.0, 11.87100887298584, 6.318115234375, 0.0, 0.06290462613105774, 0.0, 0.0], [0.0, 0.37706100940704346, 1.2282710075378418, 0.7968465685844421, 4.791830539703369, 10.633613586425781, 3.511957883834839, 0.0, 0.0, 1.39749276638031, 2.6159238815307617]]"
331,"[[1049, 1595, 470, 423, 1997, 284, 466, 351, 534], [30, 8060, 16460, 318, 2147, 284, 6487, 379, 11, 475, 428], [39086, 35759, 550, 2147, 1365, 284, 466, 355, 465, 1074, 13770], [612, 561, 307, 1997, 1364, 284, 910, 416, 262, 640, 314], [644, 2073, 466, 356, 423, 284, 466, 475, 45071, 49241, 3667], [475, 262, 4296, 318, 12062, 284, 307, 1775, 319, 8969, 9512]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 52.69406509399414, 6.940872669219971, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 47.300384521484375, 0.0, 0.0, 0.9695736169815063, 0.0, 0.0], [0.0, 0.0, 0.0, 1.1653445959091187, 10.30998420715332, 35.76236343383789, 4.823928356170654, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 7.737748146057129, 33.77001953125, 6.828754425048828, 0.0, 4.1544880867004395, 0.0, 0.0], [0.0, 0.0, 0.0, 5.933189392089844, 0.0, 26.86237335205078, 3.7729740142822266, 0.0, 0.0, 0.0, 0.0], [0.0, 0.8567312955856323, 0.0, 0.0, 0.0, 26.395471572875977, 8.560022354125977, 0.0, 0.0, 0.0, 0.0]]"
379,"[[691, 2627, 262, 3801, 22420, 11882, 1141, 262, 640, 706, 326], [8488, 1989, 2938, 284, 307, 1844, 416, 262, 886, 286, 1306], [247, 297, 651, 284, 883, 2683, 287, 257, 2589, 13, 3914], [13, 13408, 284, 3285, 422, 345, 1790, 88, 0, 198, 198], [307, 15832, 3414, 355, 15915, 6478, 287, 1790, 1502, 13, 41626], [2693, 351, 257, 2457, 2551, 2233, 287, 2864, 13, 198, 198]]","[[0.3501635193824768, 5.91933536529541, 5.671041965484619, 1.9591495990753174, 0.0, 15.672004699707031, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.2318553924560547, 12.441984176635742, 2.1054136753082275, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 3.9726996421813965, 2.6623940467834473, 12.35129165649414, 4.792713165283203, 5.716647624969482, 0.0, 0.0, 0.0], [0.0, 0.0, 6.709758758544922, 2.2829434871673584, 5.114810943603516, 12.293935775756836, 0.0, 1.846968412399292, 0.0, 0.0, 0.0], [0.0, 0.4061286747455597, 7.910533428192139, 4.578001976013184, 1.116418480873108, 11.373387336730957, 6.659365653991699, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 2.3574721813201904, 10.220561027526855, 11.259113311767578, 7.554135322570801, 0.0, 0.0, 0.0, 0.0]]"
397,"[[11, 345, 1183, 766, 262, 1459, 1353, 12, 1659, 12, 1169], [1081, 356, 923, 284, 804, 379, 8842], [12, 1525, 12, 9150, 14608, 286, 508, 314, 447, 247, 76], [6079, 345, 674, 2298, 286, 262, 1830, 286, 262, 5270, 532], [262, 8407, 18260, 30994, 852, 3414, 11, 9975, 447, 247, 82], [5535, 46860, 6358, 11, 543, 9803, 15273, 1912, 319, 262, 17058]]","[[6.24485969543457, 7.043698787689209, 2.4637980461120605, 11.817646026611328, 17.335453033447266, 18.618297576904297, 13.349658012390137, 10.995102882385254, 11.0274658203125, 8.794170379638672, 10.01494026184082], [4.621174335479736, 6.08879280090332, 5.860345363616943, 7.064854621887207, 11.058053016662598, 15.275443077087402, 12.462359428405762], [5.447391510009766, 4.386397838592529, 5.607082843780518, 10.465719223022461, 11.542656898498535, 13.769235610961914, 13.382529258728027, 13.27204418182373, 1.7601020336151123, 0.0, 4.457218647003174], [4.428149223327637, 7.659010887145996, 7.057904243469238, 12.124606132507324, 12.532325744628906, 13.242411613464355, 10.197365760803223, 9.376267433166504, 12.623188018798828, 3.8612475395202637, 12.256180763244629], [6.1415205001831055, 0.0, 0.2345118522644043, 7.821390151977539, 7.22562837600708, 13.12380599975586, 6.6910271644592285, 4.908493518829346, 0.5134267807006836, 2.2028684616088867, 5.81162691116333], [5.449214935302734, 6.458853244781494, 9.346705436706543, 8.925834655761719, 11.1544189453125, 13.114036560058594, 7.831244468688965, 6.127153396606445, 5.195455551147461, 5.3882975578308105, 0.8396138548851013]]"
626,"[[1392, 13640, 2641, 13, 1550, 5699, 15210, 340, 2492, 447, 247], [290, 2157, 32217, 981, 968, 39519, 373, 546, 11546, 11, 830], [270, 1313, 25592, 16667, 4867, 8, 23824, 393, 300, 2178, 283], [8463, 290, 7244, 22287, 3066, 284, 1011, 340], [13, 198, 198, 1537, 355, 314, 373, 2263, 617, 9848, 6934], [4548, 379, 6645, 11175, 5952, 281, 8420, 351, 6035, 350, 5036]]","[[0.0, 0.0, 0.0, 1.8634105920791626, 4.345183849334717, 12.654531478881836, 5.661488056182861, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.650645911693573, 5.619946479797363, 12.061418533325195, 6.6003241539001465, 0.0, 0.0, 0.0, 0.0], [0.0, 3.1538891792297363, 0.27099668979644775, 7.539933204650879, 6.142434120178223, 11.856514930725098, 3.499943971633911, 8.564632415771484, 5.518723011016846, 0.0, 0.0], [4.044968128204346, 2.3695180416107178, 0.5202287435531616, 1.9591015577316284, 9.53858470916748, 11.725972175598145, 7.749667167663574, 0.0], [0.0, 0.0, 1.5488418340682983, 2.162716865539551, 8.511655807495117, 11.187012672424316, 6.964998722076416, 5.131350040435791, 5.689352035522461, 3.5273797512054443, 1.8268437385559082], [1.4157109260559082, 0.0, 0.0, 0.0, 8.401999473571777, 10.511553764343262, 0.5697384476661682, 0.0, 0.0, 0.0, 0.0]]"
670,"[[12347, 18810, 198, 198, 20588, 860, 400, 11, 2177, 416, 6542], [24439, 843, 25467, 198, 198, 3886, 311, 5549, 764, 2901, 1987], [1675, 7123, 15915, 198, 198, 6738, 262, 47584, 12, 20601, 35244], [25, 6991, 319, 262, 29585, 12918, 416, 383, 7023, 286, 21071], [12, 5868, 338, 29355, 6247, 2750, 449, 29559, 12419, 8120, 383], [287, 5618, 8411, 198, 198, 17354, 198, 198, 1544, 318, 655]]","[[0.0, 0.0, 0.0, 0.0, 15.371952056884766, 15.50194263458252, 14.716473579406738, 11.735492706298828, 12.14339542388916, 14.020421028137207, 2.2730932235717773], [0.0, 0.0, 0.0, 0.0, 0.0, 14.177380561828613, 1.9068704843521118, 0.0, 4.100848197937012, 6.319833755493164, 5.099109649658203], [0.0, 0.0, 0.0, 0.0, 0.0, 8.728997230529785, 0.8745501041412354, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 7.311630725860596, 1.43214750289917, 1.2087148427963257, 0.6982322931289673, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 6.128782272338867, 0.6334564685821533, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 5.182994842529297, 0.0, 0.0, 0.0, 0.0, 0.0]]"
